id,tip,naziv,pravo_ime,vesolje,razmerje,naslov,izdaja,leto,mesec
Ant-Man%27s_Helmet,Item,,,,,Tales to Astonish,35,1962,September

Ant-Man%27s_Suit,Item,,,,,Tales to Astonish,35,1962,September

Anthony_Amore_(Earth-616),Character,Anthony Amore,Anthony Amore,Earth-616,Married,Patsy Walker,108,1963,August

Anthony_Baskerville_(Earth-616),Character,Sir Baskerville,Anthony Baskerville,Earth-616,,Strange Tales,135,1965,August

Anthony_Stark_(Earth-616),Character,Iron Man,"Anthony Edward ""Tony"" Stark",Earth-616,Single,Tales of Suspense,39,1963,March

Anthony_Stark_(Earth-70813),Character,Iron Man,Anthony Edward Stark,Earth-70813,Single,Avengers Classic,1,2007,August

Anthony_Stark_(Earth-71016),Character,Iron Man,Anthony Edward Stark,Earth-71016,Single,The Last Fantastic Four Story,1,2007,October

Anthony_Stark_(Earth-77013),Character,Iron Man,Anthony Stark,Earth-77013,,Unknown,,,

Anti-Magnetic_Inverter_(Spider-Man),Item,,,,,Amazing Spider-Man,2,1963,May

Antoinette_Turner_(Earth-616),Character,Toni Turner,Antoinette Turner,Earth-616,Married,Millie the Model,106,1962,January

Anton_Axel_(Earth-616),Character,Anton Axel,Anton Axel,Earth-616,,Amazing Adult Fantasy,8,1962,January

Anton_Vanko_(Crimson_Dynamo)_(Earth-616),Character,Crimson Dynamo,Anton Vanko,Earth-616,,Tales of Suspense,46,1963,October

Anuxa_(Earth-616),Character,Anuxa,Anuxa,Earth-616,,Tales to Astonish,7,1960,January

An_Thoc,Location,,,,,Tales of Suspense,39,1963,March

Apache_(Earth-616),Character,Apache,Apache,Earth-616,,Rawhide Kid,1,1955,March

Ape_(Old_West)_(Earth-616),Character,Ape,Ape,Earth-616,,Rawhide Kid,39,1964,April

Aphrodite_Ourania_(Earth-616),Character,Venus,Aphrodite Ourania,Earth-616,Divorced,Venus,1,1948,August

Archeopia,Location,,,,,Thor,162,1969,March

Archeopians,Race,,,,,Thor,160,1969,January

Ardina_(Earth-7888),Character,Ardina,Ardina,Earth-7888,Single,Fireside Book Series,11,1979,

Ares_(Earth-616),Character,Ares,Ares,Earth-616,Married,Comedy Comics,10,1942,June

Army_of_Assassins_(Earth-616),Team,,,,,Tales of Suspense,60,1964,December

Arnold_Brown_(Earth-616),Character,Imperial Hydra,Arnold Brown,Earth-616,Widowed,Strange Tales,135,1965,August

Arnold_Porter_(Earth-616),Character,Arnold Porter,Arnold Porter,Earth-616,,Patsy Walker,107,1963,June

Arrowhead_Pass,Location,,,,,Rawhide Kid,17,1960,August

Artemis_(Olympian)_(Earth-616),Character,Artemis,Artemis,Earth-616,Single,Thor,129,1966,June

Arthrosians,Race,,,,,Fantastic Four Annual,6,1968,November

Arthur_Parks_(Earth-616),Character,Living Laser,Arthur Parks,Earth-616,Single,Avengers,34,1966,November

Arthur_Stacy_(Earth-616),Character,Arthur Stacy,Arthur Stacy,Earth-616,Married,Amazing Spider-Man,93,1971,February

Artificial_Being_(Earth-616),Character,Artificial Being,Unknown,Earth-616,,Tales of Suspense,81,1966,September

Artur_Zarrko_(Earth-6297),Character,Tomorrow Man,Artur Zarrko,Earth-6297,Single,Journey into Mystery,86,1962,November

Asgardians,Race,,,,,Venus,12,1951,February

Asgardian_Dragons,Race,,,,,Journey into Mystery,101,1964,February

Asgard_(City),Location,,,,,Journey into Mystery,85,1962,October

Asgard_(Realm),Location,,,,,Journey into Mystery,85,1962,October

Ashley_Hunt_(Earth-616),Character,Ashley Hunt,Ashley Hunt,Earth-616,,Tales of Suspense,3,1959,May

Aske_(Earth-616),Character,Aske,Aske,Earth-616,Married,Journey into Mystery,103,1964,April

Asteroid_M,Location,,,,,X-Men,5,1964,May

Astral_Plane,Location,,,,,Strange Tales,110,1963,July

Astra_(Planet),Location,,,,,Incredible Hulk,6,1963,March

Athena_Parthenos_(Earth-616),Character,Athena,Athena Parthenos,Earth-616,Single,Thor,164,1969,May

Atlanta,Location,,,,,Patsy Walker,93,1961,February

Atlantis_(Byrrah),Location,,,,,Fantastic Four Annual,1,1963,July

Atlantis_(Empire),Location,,,,,Fantastic Four,6,1962,September

Atlantis_(Modern),Location,,,,,Marvel Tales,140,1955,November

Atmo-Web,Item,,,,,Fantastic Four,13,1963,April

Atmo_Gun,Item,,,,,Fantastic Four,47,1966,February

Atom_Igniter,Item,,,,,Fantastic Four,61,1967,April

Attilan,Location,,,,,Fantastic Four,47,1966,February

Attuma_(Earth-616),Character,Attuma,Attuma,Earth-616,Married,Fantastic Four,33,1964,December

Aunt_Edith_(Earth-616),Character,Aunt Edith,Edith (Last name unrevealed),Earth-616,Married,Patsy and Hedy,92,1964,February

Aunt_May%27s_House,Location,,,,,Amazing Fantasy,15,1962,August

Aunt_May_(Earth-616),Character,Aunt May,Unknown,Earth-616,Married,Strange Tales,97,1962,June

Avengers_(Earth-616),Team,,,,,Avengers,1,1963,September

Avengers_(Earth-70813),Team,,,,,Avengers Classic,1,2007,August

Avengers_(Earth-77013),Team,,,,,Spider-Man Newspaper Strips,2010,2010,

Avengers_Mansion,Location,,,,,Avengers,2,1963,November

Awesome_Android_(Earth-616),Character,Awesome Andy,Awesome Android,Earth-616,Single,Fantastic Four,15,1963,June

Axonn-Karr_(Earth-616),Character,Axonn-Karr,Axonn-Karr,Earth-616,,Tales of Suspense,62,1965,February

B._J._Kosmojian_(Earth-616),Character,B. J. Kosmojian,B. J. Kosmojian,Earth-616,,Journey into Mystery,92,1963,May

Ba-Korr_(Earth-616),Character,Ba-Korr,Ba-Korr,Earth-616,,Tales to Astonish,47,1963,September

Baby_Face_Barker_(Earth-616),Character,Baby Face Barker,Unknown,Earth-616,,Patsy Walker,87,1960,February

Badoon,Race,,,,,Silver Surfer,2,1968,October

Balder_Odinson_(Earth-616),,,,,,Journey into Mystery,85,1962,October

Baldy_Kolak_(Earth-616),Character,Baldy Kolak,Baldy Kolak,Earth-616,,Strange Tales,112,1963,September

Baltag_(Earth-6311),Character,Baltag,Baltag,Earth-6311,,Avengers,24,1966,January

Baluurians,Race,,,,,Fantastic Four,62,1967,May

Barney_Bushkin_(Earth-616),Character,Barney Bushkin,Barney Bushkin,Earth-616,Single,Amazing Spider-Man,27,1965,August

Baron_Mordo%27s_Minions_(Earth-616),Team,,,,,Strange Tales,125,1964,October

Baron_Radzik_(Earth-616),Character,Baron Radzik,Radzik,Earth-616,,Tales to Astonish,55,1964,May

Baron_Zemo%27s_Sword,Item,,,,,Avengers,4,1964,March

Bart_Dietzel_(Earth-616),Character,Blockbuster,Bart Dietzel,Earth-616,,Captain America,121,1970,January

Basallo_(Earth-616),Character,Basallo,Basallo,Earth-616,,Journey into Mystery,97,1963,October

Bast_(Earth-616),Character,Bast,Bast,Earth-616,,Fantastic Four,52,1966,July

Batroc%27s_Brigade_(Earth-616),Team,,,,,Captain America,105,1968,September

Bavaria,Location,,,,,Strange Tales,118,1964,March

Bavarian_Alps,Location,,,,,Strange Tales,118,1964,March

Baxter_Bigelow_(Earth-616),Character,Baxter Bigelow,Baxter Bigelow,Earth-616,,Amazing Fantasy,15,1962,August

Baxter_Building,Location,,,,,Fantastic Four,3,1962,March

Baxu_(Earth-616),Character,Baxu,Baxu,Earth-616,Married,Tales of Suspense,43,1963,July

Beak_(Nazi)_(Earth-616),Character,Beak,Unknown,Earth-616,,Captain America Comics,22,1943,January

Beasts_of_Berlin_(Earth-616),Character,Beasts of Berlin,Beasts of Berlin,Earth-616,,Tales to Astonish,60,1964,October

Beast_(Mysterio%27s_Robots)_(Earth-616),Character,Beast,Beast,Earth-616,,Amazing Spider-Man Annual,1,1964,October

Beatles_(Earth-616),Team,,,,,Strange Tales,130,1965,March

Beetle_Armor_MK_I,Item,,,,,Strange Tales,123,1964,August

Behemoth_(Atlantean_Beast)_(Earth-616),Character,Behemoth,Unknown,Earth-616,,Tales to Astonish,77,1966,March

Belle_Thorne_(Earth-616),Character,Belle Thorne,Belle Thorne,Earth-616,Married,Fantastic Four,50,1966,May

Benjamin_Grimm_(Earth-1102),Character,Thing,Benjamin Jacob Grimm,Earth-1102,Single,What If?,200,2011,February

Benjamin_Grimm_(Earth-616),Character,The Thing,"Benjamin Jacob ""Ben"" Grimm",Earth-616,Married,Fantastic Four,1,1961,November

Benjamin_Grimm_(Earth-71016),Character,Thing,Benjamin Jacob Grimm,Earth-71016,Single,The Last Fantastic Four Story,1,2007,October

Benjamin_Grimm_(Earth-77013),Character,Thing,Benjamin Grimm,Earth-77013,,Spider-Man Newspaper Strips,2010,2010,

Benjamin_Grimm_(Earth-8466),Character,Thing,Benjamin Grimm,Earth-8466,,Fantastic Four: The Lost Adventure,1,2008,April

"Benjamin_Grimm_(Skrull,_Cow)_(Earth-616)",Character,The Thing,Unknown,Earth-616,Single,Fantastic Four,2,1962,January

Benjamin_Parker_(Earth-616),,Ben Parker,"Benjamin Franklin ""Ben"" Parker",Earth-616,Married,Amazing Fantasy,15,1962,August

Benjamin_Parker_(Earth-77013),Character,Uncle Ben,Benjamin Parker,Earth-77013,Married,Spider-Man Newspaper Strips,1977,1977,

Benjamin_Tucker_(Earth-616),Character,Solarman,Benjamin Tucker,Earth-616,Single,Solarman,1,1989,January

Bennett_Brant_(Earth-616),Character,Crime-Master,Bennett Brant,Earth-616,Single,Amazing Spider-Man,11,1964,April

Bennington_Brown_(Earth-616),Character,Bennington Brown,Bennington Brown,Earth-616,,Kid Colt Outlaw,112,1963,September

Bentley_Wittman_(Android)_(Earth-616),Character,The Wizard,The Wizard,Earth-616,,Fantastic Four,100,1970,July

Bentley_Wittman_(Earth-616),Character,The Wizard,Bentley Wittman,Earth-616,Divorced,Strange Tales,102,1962,November

Ben_Bart_(Earth-616),Character,Ben Bart,Ben Bart,Earth-616,,Rawhide Kid,17,1960,August

Ben_Bragg_(Earth-616),Character,Ben Bragg,Ben Bragg,Earth-616,,Rawhide Kid,22,1961,June

Ben_Carson_(Earth-616),Character,Ben Carson,Ben Carson,Earth-616,,Rawhide Kid,21,1961,April

Ben_Carter_(Earth-616),Character,Ben Carter,Ben Carter,Earth-616,,Tales to Astonish,41,1963,March

Ben_Dancer_(Earth-616),Character,Ben Dancer,Ben Dancer,Earth-616,,Two-Gun Kid,60,1962,November

Ben_Kragg_(Earth-616),Character,Ben Kragg,Ben Kragg,Earth-616,,Amazing Adult Fantasy,10,1962,March

Berchtesgaden,Location,,,,,Captain America,119,1969,November

Berhert,Location,,,,,Incredible Hulk,111,1969,January

Bernard_O%27Brien_(Earth-616),Character,Bernard O'Brien,Bernard O'Brien,Earth-616,,Amazing Fantasy,15,1962,August

Bernard_the_Poet_(Earth-616),Character,Bernard the Poet,Bernard (last name unknown),Earth-616,Single,X-Men,7,1964,September

Bert_Rose_(Earth-616),Character,Bert Rose,Bert Rose,Earth-616,,Daredevil,1,1964,April

Bestla_(Earth-616),Character,Bestla,Bestla,Earth-616,Married,Journey into Mystery,97,1963,October

Beth_Kemperer_(Earth-7888),Character,Beth Kemperer,Beth Kemperer,Earth-7888,Married,Fireside Book Series,11,1979,

Betty_Bliss_(Earth-616),Character,Miss Bliss,Betty Bliss,Earth-616,Single,Meet Miss Bliss,1,1955,May

Betty_Dean_(Earth-77013),Character,Betty Dean,Betty Dean,Earth-77013,,Spider-Man Newspaper Strips,2015,2015,

Beverly_Carter_(Earth-616),Character,Beverly Carter,Beverly Carter,Earth-616,Single,Love Romances,105,1963,May

Beverly_Dayton_(Earth-616),Character,Beverly Dayton,Beverly Dayton,Earth-616,Single,My Love,10,1971,March

Bifrost,Item,,,,,Journey into Mystery,85,1962,October

Big-Time_(Bigelow)_(Earth-77013),Character,Big-Time,Bigelow (full name unrevealed),Earth-77013,,Spider-Man Newspaper Strips,2008,2008,

Biggie_Benson_(Earth-616),Character,Biggie Benson,Benson (first name unknown),Earth-616,,Daredevil,47,1968,December

Bigshot_(Earth-77013),Character,Bigshot,Unknown,Earth-77013,,Spider-Man Newspaper Strips,2009,2009,

Big_Bill_Corbett_(Earth-616),Character,Big Bill Corbett,Bill Corbett,Earth-616,,Rawhide Kid,19,1960,December

Big_Gully_Dam,Location,,,,,Fantastic Four,80,1968,November

Big_Joe_(Earth-616),Character,Big Joe,Unknown,Earth-616,,Daredevil,19,1966,August

Big_Joe_(Mobster)_(Earth-616),Character,Big Joe,Unknown,Earth-616,,Fantastic Four,24,1964,March

Big_Sam_(Samuel)_(Earth-616),Character,Big Sam,Samuel,Earth-616,,All Winners Comics,3,1941,Winter

Billy_Langley_(Earth-616),Character,Billy Langley,Billy Langley,Earth-616,Single,Tales of Suspense,17,1961,May

Bill_Brinkly_(Earth-616),Character,Bill Brinkly,Bill Brinkly,Earth-616,,Strange Tales,120,1964,May

Bill_Carter_(Earth-616),Character,Bill Carter,Bill Carter,Earth-616,Married,Tales to Astonish,27,1962,January

Bill_Cooper_(Earth-616),Character,Bill Cooper,Bill Cooper,Earth-616,Single,Journey into Mystery,79,1962,April

Bill_Gordon_(Silver_Age)_(Earth-616),Character,Bill Gordon,Bill Gordon,Earth-616,Single,Tales of Suspense,29,1962,May

Bill_Leonard_(Earth-616),Character,Bill Leonard,Bill Leonard,Earth-616,,Sgt Fury and his Howling Commandos,24,1965,November

Bill_Lindo_(Earth-616),Character,Sam Jethroe,Bill Lindo,Earth-616,,Two-Gun Kid,45,1958,December

Bill_Segrist_(Earth-616),Character,Bill Segrist,Bill Segrist,Earth-616,Single,Avengers,2,1963,November

Bio-Synthetic_Wings,Item,,,,,Tales to Astonish,44,1963,June

Bisq_(Earth-616),Character,Bisq,Bisq,Earth-616,,Fantastic Four,97,1970,April

Blackagar_Boltagon_(Earth-616),Character,Black Bolt,Blackagar Boltagon,Earth-616,Married,Fantastic Four,45,1965,December

Blackagar_Boltagon_(Earth-71016),Character,Black Bolt,Blackagar Boltagon,Earth-71016,Married,The Last Fantastic Four Story,1,2007,October

Blackie_Carter_(Earth-616),Character,Blackie Carter,Blackie Carter,Earth-616,,Rawhide Kid,31,1962,December

Blackie_Gaxton_(Earth-616),Character,Blackie Gaxton,Blackie Gaxton,Earth-616,Single,Amazing Spider-Man,11,1964,April

Blackie_Skarr_(Earth-616),Character,Blackie Skarr,Blackie Skarr,Earth-616,,Fantastic Four,15,1963,June

Blackjack_Bordon_(Earth-616),Character,Blackjack Bordon,Unknown,Earth-616,,Rawhide Kid,20,1961,February

Black_Barker_(Earth-616),Character,Black Barker,Unknown,Earth-616,,Rawhide Kid,29,1962,August

Black_Feather_(Earth-616),Character,Black Feather,Black Feather,Earth-616,,Kid Colt Outlaw,100,1961,September

Black_Galaxy,Location,,,,,Thor,132,1966,September

Black_Knight_(Animated_Armor)_(Earth-616),Character,Black Knight,Unknown,Earth-616,Single,Strange Tales,108,1963,May

Black_Silas_(Earth-616),Character,Black Silas,Silas,Earth-616,,Kid Colt Outlaw,79,1958,July

Black_Swamp,Location,,,,,Tales to Astonish,11,1960,September

Black_Widow%27s_Gauntlets,Item,,,,,Tales of Suspense,64,1965,April

Blade_Benson_(Earth-616),Character,Blade Benson,Blade Benson,Earth-616,,Kid Colt Outlaw,106,1962,September

Blanche_Carter_(Earth-616),Character,Blanche Carter,Blanche Carter,Earth-616,Married,Kathy,1,1959,October

Blastaar_(Earth-616),Character,Blastaar,Blastaar,Earth-616,Widowed,Fantastic Four,62,1967,May

Blastaar_(Earth-78909),Character,Blastaar,Blastaar,Earth-78909,,"Blastaar, the Living Bomburst",,1978,December

Blips,Race,,,,,Tales to Astonish,15,1961,January

Blitzkrieg_Squad_(Earth-616),Team,,,,,Sgt Fury and his Howling Commandos,14,1965,January

Blizzard_Armor,Item,,,,,Tales of Suspense,45,1963,September

Bloodaxe_(Enchanted_Axe),Item,,,,,Journey into Mystery,103,1964,April

Blue_Area_of_the_Moon,Location,,,,,Fantastic Four,13,1963,April

Blue_City,Location,,,,,Fantastic Four,13,1963,April

Body-Transferral_Ray,Item,,,,,Daredevil,37,1968,February

Bolivar_Trask_(Earth-616),Character,Bolivar Trask,Bolivar Trask,Earth-616,Widowed,X-Men,14,1965,November

Bombu_(Earth-616),Character,Bombu,Bombu,Earth-616,Single,Journey into Mystery,60,1960,September

Bones_(Earth-616),Character,Bones,Unknown,Earth-616,,Fantastic Four,15,1963,June

Booie_Dawdly_(Earth-616),Character,The Imp,Booie Dawdly,Earth-616,,Mystic Comics,8,1942,March

Boopsie_(Earth-616),Character,Boopsie,Boopsie,Earth-616,,Tales to Astonish,68,1965,June

Border_City,Location,,,,,Rawhide Kid,18,1960,October

Borers,Race,,,,,Fantastic Four Annual,6,1968,November

Borgo_(Earth-616),Character,Borgo,Borgo,Earth-616,Single,Silver Surfer,7,1969,August

Boris_(Latverian)_(Earth-616),Character,Boris,Boris,Earth-616,Married,Fantastic Four Annual,2,1964,September

Boris_Bullski_(Earth-616),Character,Titanium Man,Boris Bullski,Earth-616,Single,Tales of Suspense,69,1965,September

Boris_Monguski_(Earth-616),Character,Mongu,Boris Monguski,Earth-616,,Incredible Hulk,4,1962,November

Boris_Petrovsky_(Earth-616),Character,Boris Petrovsky,Boris Petrovsky,Earth-616,Single,Tales of Suspense,14,1961,February

Boris_Turgenov_(Earth-616),Character,Crimson Dynamo,Boris Turgenov,Earth-616,Single,Tales of Suspense,52,1964,April

Borjigin_Byambyn_Khenbish_(Earth-616),Character,Demon,Borjigin Byambyn Khenbish ,Earth-616,,Journey into Mystery,123,1965,December

Bornag_Royale_(Earth-616),Character,Bornag Royale,Bornag Royale,Earth-616,,Strange Tales,146,1966,July

Bor_Burison_(Earth-616),Character,Bor,Bor Burison,Earth-616,Married,Journey into Mystery,97,1963,October

Boss_(Earth-616),Character,Boss,Unknown,Earth-616,Single,Daredevil,29,1967,June

Boss_Barker_(Earth-616),Character,Boss Barker,Unknown,Earth-616,Single,Fantastic Four,91,1969,October

Boswell_(Earth-616),Character,Boswell,Boswell,Earth-616,,Daredevil,13,1966,February

Bottomless_Canyon,Location,,,,,Rawhide Kid,22,1961,June

Bottomless_Lake,Location,,,,,Fantastic Four,86,1969,May

Brad_Carter_(Scientist)_(Earth-616),Character,Brad Carter,Brad Carter,Earth-616,Married,Amazing Adult Fantasy,14,1962,July

Braggi_(Earth-616),Character,Braggi,Braggi,Earth-616,,Journey into Mystery,118,1965,July

Bret_Marlowe_(Earth-616),Character,Bret Marlowe,Bret Marlowe,Earth-616,,Tales of Suspense,37,1963,January

